Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:09, 23.61,  0.08, -0.00,  1.00,  1.08,  2.45,-10.64, -0.16,  4.56, -2.01,-13.28,-60.74; 31.00,  0.02,  0.00,  1.03,  4.04, -3.78, -1.81,  0.20,  1.09,  0.04,-11.21,  4.10
Uptime 00:00:09, 23.66,  0.12,  0.00,  1.01, -0.13, -0.66, -6.00,  0.13,  7.06, -1.99,-13.24,-61.49; 31.09,  0.06, -0.01,  0.98, -4.71, -4.96, -1.87, -0.49,  3.60, -0.55,-11.67,  3.87
Uptime 00:00:09, 23.56,  0.10, -0.02,  0.97,  2.24,  1.34, -9.92, -0.94,  5.62, -1.69,-12.92,-62.74; 31.05,  0.05,  0.02,  0.99,  3.22, -2.00, -0.93,  0.93,  3.02, -0.12,-11.74,  3.75
Uptime 00:00:10, 23.56,  0.07,  0.05,  1.06, -0.25, -2.25, -9.80,  2.44,  3.56, -1.64,-13.02,-64.01; 31.00,  0.04,  0.02,  1.04,  1.03, -1.33, -1.43,  0.93,  2.30,  0.03,-11.72,  3.57
Uptime 00:00:10, 23.56,  0.07,  0.01,  1.00,  0.77,  0.96, -8.30,  0.50,  4.22, -1.50,-12.72,-65.05; 31.05,  0.06,  0.00,  1.01,  1.14, -1.30, -2.06,  0.13,  3.51,  0.17,-11.72,  3.31
Uptime 00:00:10, 23.61,  0.06,  0.04,  1.02, -3.47, -0.62, -5.74,  2.51,  3.14, -1.85,-12.61,-65.78; 31.05,  0.04,  0.02,  1.03,  2.59,  2.44, -1.63,  0.94,  2.11,  0.51,-11.22,  3.10
Uptime 00:00:10, 23.56,  0.05,  0.03,  1.01,  0.35, -4.57, -5.37,  1.42,  2.92, -1.74,-12.99,-66.46; 31.09,  0.02, -0.01,  1.02, -1.14, -0.78,  0.81, -0.34,  1.19,  0.35,-11.12,  3.21
Uptime 00:00:10, 23.61,  0.11, -0.00,  0.99, -3.62, -1.61, -0.44, -0.24,  6.34, -2.16,-13.05,-66.52; 31.09,  0.06, -0.00,  0.99,  1.02, -0.87,  1.73, -0.22,  3.27,  0.46,-11.07,  3.43
Uptime 00:00:10, 23.66,  0.07,  0.01,  1.02, -0.00, -3.46, -3.83,  0.30,  3.77, -2.11,-13.29,-67.00; 31.14,  0.04,  0.01,  1.02,  1.12,  0.12,  1.61,  0.36,  2.11,  0.60,-10.88,  3.63
Uptime 00:00:10, 23.66,  0.11, -0.03,  0.99, -4.57, -0.45,  0.02, -1.60,  6.22, -2.67,-13.21,-67.00; 31.14,  0.03, -0.03,  0.99,  1.41, -2.21,  1.46, -1.60,  1.97,  0.73,-10.98,  3.81
Uptime 00:00:10, 23.71,  0.10,  0.03,  1.01, -2.42, -3.23, -2.81,  1.48,  5.75, -2.89,-13.46,-67.35; 31.24,  0.03,  0.03,  1.00, -0.95, -2.64,  1.67,  1.50,  1.77,  0.63,-11.12,  4.02
Uptime 00:00:11, 23.61,  0.07, -0.03,  1.01, -1.23,  1.81, -2.55, -1.93,  4.03, -3.03,-13.03,-67.70; 31.14,  0.00, -0.01,  1.03,  3.44, -0.94,  0.28, -0.28,  0.27,  1.06,-11.02,  4.06
Uptime 00:00:11, 23.71,  0.09,  0.03,  1.08,  0.88,  2.30, -0.27,  1.33,  4.56, -2.83,-12.58,-67.73; 31.24,  0.06, -0.01,  0.98, -3.70, -2.23,  0.34, -0.71,  3.69,  0.57,-11.15,  4.11
Uptime 00:00:11, 23.56,  0.07, -0.03,  1.00,  1.93, -0.54, -4.12, -1.98,  3.90, -2.58,-12.47,-68.25; 31.14,  0.04, -0.01,  1.01, -0.59, -2.12,  1.12, -0.47,  2.54,  0.48,-11.24,  4.25
Uptime 00:00:11, 23.61,  0.08,  0.00,  1.02, -3.47,  0.09,  0.16,  0.08,  4.34, -2.96,-12.30,-68.23; 31.24,  0.05,  0.02,  1.02,  1.64,  4.25,  0.52,  0.89,  2.59,  0.69,-10.54,  4.31
Uptime 00:00:11, 23.66,  0.07,  0.00,  1.03,  0.67, -5.53, -2.75,  0.15,  4.14, -2.82,-12.82,-68.58; 31.24,  0.03, -0.01,  1.01, -1.70, -0.82,  1.62, -0.44,  1.45,  0.46,-10.46,  4.52
Uptime 00:00:11, 23.71,  0.12, -0.05,  1.02, -4.40, -0.65,  1.27, -2.82,  6.97, -3.36,-12.78,-68.42; 31.24,  0.05, -0.02,  1.00,  0.82,  1.27,  1.87, -1.28,  2.58,  0.53,-10.14,  4.75
Uptime 00:00:11, 23.75,  0.12,  0.01,  1.05, -3.13, -2.68, -3.43,  0.77,  6.40, -3.67,-12.99,-68.86; 31.28,  0.03,  0.04,  1.02, -1.38, -1.31,  1.23,  1.99,  1.92,  0.38,-10.14,  4.91
Uptime 00:00:11, 23.66,  0.09, -0.05,  1.03, -1.55,  2.73, -4.27, -2.78,  5.19, -3.84,-12.50,-69.39; 31.19,  0.01, -0.02,  1.02,  4.18, -0.79, -0.19, -1.06,  0.74,  0.87,-10.05,  4.89
Uptime 00:00:12, 23.56,  0.10, -0.02,  1.06,  1.57, -0.25, -5.52, -1.12,  5.33, -3.59,-12.38,-70.09; 31.24,  0.05, -0.02,  0.97, -3.53, -5.56, -1.48, -1.33,  2.96,  0.39,-10.60,  4.70
